user_id,group,n,n_month,first_month,last_month
1,冰紅茶-大(新) @ 安心食品服務南港展館,12,5,2025-12,2026-05
1,d摩斯雞塊套加60 @ 安心食品服務南港展館,12,6,2025-12,2026-05
1,黑蒜豚骨拉麵 @ 九南商行,12,7,2025-09,2026-04
1,燙青菜 @ 吾時食清燉紅燒牛肉麵,11,5,2026-01,2026-05
0,餅乾3片 @ 傑洛國際台大店,11,4,2026-02,2026-05
1,輕食咖啡廳 @ 冠樺生活,11,7,2025-09,2026-05
1,糖心蛋(兩片) @ 九南商行,11,6,2025-09,2026-04
1,皮蛋乾麵 @ 一娘子小吃店,10,5,2025-12,2026-04
0,桂格100%燕麥(顆粒微甜)290ml @ 統一超商台北市第七四一,10,4,2025-09,2026-04
1,(a)統一h2o純水pet2200 @ 統一超商新北市第一四三五,10,4,2025-10,2026-05
1,體適能-全票 @ 頂尖運動行銷樹林營業所,10,6,2025-09,2026-05
1,芽香綠金萱(l) @ 大仟飲料店,9,4,2025-12,2026-03
2,味丹多喝水 @ 全聯實業永和成功,9,6,2025-10,2026-05
1,原味波士頓 @ 貓啡因商行,9,5,2025-09,2026-05
1,超級大麥海洋珍珠堡 @ 安心食品服務南港展館,9,5,2025-12,2026-05
0,來一客杯麵京燉肉骨風味 @ 統一超商台北市第七四一,9,7,2025-09,2026-05
0,a4黑白列印ibon @ 統一超商台北市第七四一,8,2,2025-12,2026-03
0,ab原味優酪乳517ml(瓶) @ 統一超商台北市第七四一,8,5,2025-09,2026-05
1,超市餐飲其他 @ 遠東百貨板橋新站,8,5,2025-09,2026-01
1,草莓 @ 貓啡因商行,8,4,2025-10,2026-01
2,食品 @ 京站實業,8,4,2025-10,2026-04
1,極選厚菠蘿 @ 統一聖娜多堡市站門市部,8,4,2025-09,2026-01
1,日香雞肉飯 - 私房辣椒雞腿飯(b) @ 百變全球餐飲,8,6,2025-11,2026-05
1,極致巧克力蛋糕 @ 貓啡因商行,8,3,2025-10,2026-01
1,三明治冰淇淋 @ 國立臺灣大學生物資源暨農學院附設農業試驗場,8,6,2025-09,2026-05
1,酥脆雞塊 @ 貓啡因商行,8,4,2025-11,2026-03
0,韓國農心辛香菇杯麵 @ 統一超商台北市第七四一,8,6,2025-11,2026-05
0,ab優酪乳原味 @ 全家便利商店台大二活門市部,7,5,2025-10,2026-05
0,台灣香蕉重量分享包(2入) @ 統一超商台北市第七四一,7,6,2025-10,2026-05
2,泰山淨之水 @ 全聯實業永和成功,7,2,2026-04,2026-05
2,影印費 @ 飛捷廣告印刷公館,7,2,2025-10,2025-12
1,台灣香蕉重量分享包(2入) @ 統一超商台北市第一0二七,7,4,2026-01,2026-05
0,配-經典大薯 @ 和德昌台北公館,7,4,2025-10,2026-05
0,林聰明-雞肉飯飯糰 @ 統一超商台北市第七四一,7,6,2025-10,2026-05
1,停車費 @ 遠創智慧,7,2,2026-04,2026-05
1,一配經典肉鬆飯糰 @ 全家便利商店台大二活門市部,7,4,2025-11,2026-04
1,涼拌豆干絲 @ 九南商行,7,6,2025-09,2026-04
0,桂格顆粒燕麥飲 @ 全家便利商店台大二活門市部,6,3,2025-11,2026-05
0,(區)現蒸地瓜25元 @ 統一超商台北市第七四一,6,4,2025-11,2026-04
0,福樂自然零藍莓優酪 @ 統一超商台北市第七四一,6,6,2025-09,2026-05
2,起司蛋堡 @ 傑洛國際台大店,6,4,2025-10,2026-03
1,摩斯鱈魚堡 @ 安心食品服務南港展館,6,6,2025-12,2026-05
1,冰/熱 美式咖啡(大) @ 統一超商,6,5,2025-09,2026-02
1,白玉珍珠 / 無糖 / 微冰 @ 陌生人商行,6,5,2025-10,2026-05
1,炙燒乳酪蛋糕 @ 貓啡因商行,6,4,2025-09,2026-01
1,餐飲費 @ 欣食旅 南港營業所,6,4,2025-11,2026-04
1,a 美式黑咖啡-中冰 @ 路易莎職人咖啡新北圖館,5,3,2026-03,2026-05
1,864898丸龜製麵 @ 遠百企業板橋南雅,5,4,2025-12,2026-05
0,餐-十塊雞 @ 和德昌台北公館,5,4,2025-10,2026-05
0,統一麵包快樂牛奶球 @ 統一超商台北市第七四一,5,3,2025-12,2026-04
0,豆干 @ 東引快刀手企業社,5,4,2026-02,2026-05
0,ab原味優酪乳206ml(瓶) @ 統一超商台北市第七四一,5,4,2025-10,2026-02
0,台灣上等蕉(裸賣) @ 統一超商台北市第七四一,5,3,2025-12,2026-04
1,a4黑白列印ibon @ 統一超商新北市第一四三五,5,2,2025-12,2026-05
1,油切蕎麥茶 @ 恆木茶行,5,4,2025-09,2026-04
1,pkl330立頓巧克力奶 @ 松深食品,5,4,2025-10,2026-04
1,台灣上等蕉(裸賣) @ 統一超商台北市第一0二七,5,3,2026-01,2026-04
1,牧香穀物鮮奶茶(l) @ 大仟飲料店,5,4,2025-12,2026-03
1,燙青菜 @ 一娘子小吃店,5,4,2026-01,2026-04
1,重乳奶茶tp330 @ 全家便利商店台大二活門市部,5,3,2026-03,2026-05
2,蕉滴滴 @ 全聯實業永和成功,5,3,2025-10,2025-12
